,Phone_Names,Price,No_of_buyers,Phone_features
0,Vivo Y73 ,20990,1410,8GB_128GB
1,Vivo Y33s ,18990,293,8GB_128GB
2,Vivo Y72 5G ,20990,193,8GB_128GB
3,Vivo Y21 ,15490,319,4GB_128GB
4,Samsung Galaxy M32 5G ,16999,70,6GB_128GB
5,Samsung Galaxy M32 5G ,16999,1410,6GB_128GB
6,Vivo Y21 ,15490,1410,4GB_128GB
7,OnePlus Nord CE 5G ,24999,70,8GB_128GB
8,Vivo V21e 5G ,24990,51971,8GB_128GB
9,OnePlus Nord 2 5G ,34999,747,12GB_256GB
10,Samsung Galaxy A22 5G ,21999,32083,8GB_128GB
11,Apple iPhone 11 ,40999,397,(64GB)
12,iQOO 7 5G ,29990,12519,8GB_128GB_3GB
13,Vivo Y53s ,19490,51,8GB_128GB
14,Mi 11X 5G ,28999,11617,8GB_128GB
15,Samsung Galaxy A12 ,15499,5,6GB_128GB
16,Apple iPhone XR ,32999,934,(64GB)
17,Apple iPhone XR ,32999,934,(64GB)
18,Apple iPhone XR ,37999,934,(128GB)
19,Apple iPhone XR ,37999,934,(128GB)
20,Realme GT 5G Master Edition ,24843,8,8GB_128GB
21,Apple iPhone 11 ,54900,36819,(128GB)
22,(Renewed) OnePlus Nord 2 5G ,32499,36819,12GB_256GB
23,Mi 11X 5G ,27999,36819,6GB_128GB
24,Mi 11X 5G ,27999,11617,6GB_128GB
25,Samsung Galaxy A12 ,15499,11617,6GB_128GB
26,Oppo Reno 6 Pro 5G ,39536,66,12GB_256GB
27,Apple iPhone XR ,32999,12519,(128GB)
28,Apple iPhone XR ,28999,2,(64GB)
29,Samsung Galaxy A52 ,34999,934,8GB_128GB
30,(Renewed) OnePlus 9 Pro 5G ,55999,4,8GB_128GB
31,(Renewed) OnePlus 9 Pro 5G ,59999,4,12GB_256GB
32,OnePlus 9 Pro 5G ,60999,5893,8GB_128GB
33,Mi 10i 5G ,21999,29006,6GB_128GB
